#Dataset: MPI-M-MPI-ESM-LR_r1i1p1_UA-WRF_v3-5-1
#Variable: pr
#Area: landsea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-01-19
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","NWN","NEN","WNA","CNA","ENA","full_domain"
"1970-01",46.98,42.23,123.523,28.3,115.512,95.655
"1970-02",47.26,39.761,108.227,34.514,112.333,77.984
"1970-03",37.355,34.905,94.529,62.311,101.627,85.974
"1970-04",50.552,34.503,77.668,75.427,98.401,69.424
"1970-05",55.876,41.232,57.339,92.686,108.788,75.667
"1970-06",79.754,72.03,48.048,94.372,103.905,68.55
"1970-07",105.037,67.37,43.521,93.286,127.655,90.069
"1970-08",86.049,59.639,39.425,80.967,115.95,92.344
"1970-09",89.406,62.292,29.766,57.832,146.773,99.964
"1970-10",67.146,63.426,58.086,20.169,114.279,95.594
"1970-11",61.138,33.39,134.609,26.565,104.062,95.156
"1970-12",48.769,42.97,153.124,18.861,107.148,94.153
"1971-01",61.775,44.053,79.627,19.785,91.401,103.642
"1971-02",51.019,36.396,49.184,36.146,108.748,84.349
"1971-03",30.554,40.915,106.276,45.068,131.089,76.535
"1971-04",46.554,38.772,85.197,96.819,91.627,70.563
"1971-05",52.454,45.097,60.869,106.83,101.707,70.924
"1971-06",70.41,54.42,62.492,142.47,116.083,74.111
"1971-07",104.955,72.502,46.571,119.739,139.012,88.992
"1971-08",96.556,84.331,50.439,122.215,120.029,95.507
"1971-09",69.601,57.698,64.109,59.887,108.181,93.851
"1971-10",69.281,52.331,70.15,49.892,91.52,106.193
"1971-11",70.708,50.735,90.878,36.17,113.331,95.143
"1971-12",60.281,35.286,154.861,29.991,107.599,100.47
"1972-01",44.883,44.567,106.659,41.059,148.665,90.34
"1972-02",64.683,33.888,42.647,20.619,85.678,85.9
"1972-03",55.24,32.196,63.952,59.142,140.102,82.166
"1972-04",47.161,33.031,70.893,83.38,99.739,73.751
"1972-05",46.497,48.915,65.597,136.245,129.314,68.085
"1972-06",63.824,58.167,65.201,115.087,130.446,74.234
"1972-07",96.307,78.1,57.44,155.398,135.955,92.301
"1972-08",94.698,85.907,70.722,120.416,121.01,113.668
"1972-09",78.17,54.604,34.919,66.583,99.559,101.976
"1972-10",75.411,54.152,87.485,51.881,85.679,90.97
"1972-11",76.094,52.518,93.493,41.804,143.88,98.493
"1972-12",53.901,51.498,114.746,57.497,129.119,99.826
"1973-01",49.18,40.591,117.812,30.804,129.074,96.54
"1973-02",36.993,25.705,105.143,42.268,88.395,74.749
"1973-03",35.001,37.727,78.877,66.041,104.166,83.602
"1973-04",38.904,45.192,57.064,83.658,100.269,68.193
"1973-05",52.38,40.696,86.061,116.182,125.218,74.822
"1973-06",65.893,56.86,55.255,138.84,108.326,69.403
"1973-07",80.787,73.555,68.356,157.154,129.583,82.513
"1973-08",91.036,63.568,53.666,126.596,131.456,93.485
"1973-09",87.414,61.119,44.94,77.759,129.943,99.715
"1973-10",81.582,59.583,77.214,16.999,103.466,104.695
"1973-11",70.767,40.892,101.654,29.396,115.747,96.622
"1973-12",64.269,36.512,100.682,71.294,122.395,101.34
"1974-01",38.277,38.926,147.577,49.916,114.27,91.732
"1974-02",49.668,36.235,105.96,51.449,106.916,87.338
"1974-03",44.203,42.39,109.657,65.583,105.205,86.082
"1974-04",46.418,42.056,76.578,96.429,100.87,73.609
"1974-05",56.061,46.376,49.814,90.993,105.137,67.891
"1974-06",64.926,59.622,57.949,121.094,129.688,73.835
"1974-07",80.231,74.831,42.817,130.777,115.818,91.462
"1974-08",75.675,74.884,38.936,111.279,142.198,92.048
"1974-09",74.864,52.204,53.446,97.986,123.12,91.763
"1974-10",84.902,53.71,52.296,73.636,105.095,107.089
"1974-11",72.79,42.468,117.257,52.307,119.049,97.736
"1974-12",65.376,42.011,150.026,38.391,108.756,99.263
"1975-01",72.469,44.421,59.279,24.573,77.784,78.696
"1975-02",41.845,38.445,150.819,45.692,105.357,80.742
"1975-03",39.048,36.837,103.937,34.834,104.797,82.791
"1975-04",50.295,31.7,94.672,64.826,78.278,68.767
"1975-05",41.538,45.183,73.502,115.457,104.99,73.646
"1975-06",59.931,50.727,53.638,139.007,125.185,68.551
"1975-07",100.405,54.929,50.535,126.63,149.434,83.136
"1975-08",88.887,72.752,42.777,106.354,103.763,94.967
"1975-09",82.95,48.499,64.294,101.528,90.667,93.157
"1975-10",74.287,64.652,60.949,73.499,93.322,104.158
"1975-11",67.232,46.093,98.511,22.529,145.069,94.975
"1975-12",51.599,41.342,116.705,54.257,108.892,96.377
"1976-01",33.186,34.861,190.268,29.278,118.991,87.353
"1976-02",39.475,40.148,105.33,33.584,108.981,75.667
"1976-03",46.601,34.929,98.129,56.352,79.954,74.405
"1976-04",48.504,34.481,57.883,82.122,101.58,68.587
"1976-05",44.519,44.945,66.37,98.688,122.125,67.175
"1976-06",88.382,60.294,42.815,129.43,140.385,84.738
"1976-07",109.695,71.031,30.074,176.994,117.116,90.968
"1976-08",88.185,75.227,34.693,131.679,90.533,95.927
"1976-09",89.12,60.901,65.269,66.981,107.752,99.526
"1976-10",73.683,68.449,32.973,87.989,118.07,94.716
"1976-11",56.311,41.911,117.42,42.88,91.878,96.935
"1976-12",59.289,40.854,122.336,53.094,98.489,96.567
"1977-01",65.846,42.737,92.801,74.877,89.215,99.079
"1977-02",58.699,32.002,88.479,30.199,79.077,77.867
"1977-03",55.771,34.176,82.627,31.236,122.157,90.123
"1977-04",32.795,33.951,78.045,98.072,89.507,73.467
"1977-05",58.122,48.082,56.964,110.883,93.032,74.42
