#Dataset: NOAA-GFDL-GFDL-ESM2M_r1i1p1_ISU-RegCM4_v4-4-rc8
#Variable: pr
#Area: land
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-01-19
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","NWN","NEN","WNA","CNA","ENA","full_domain"
"1970-01",59.249,46.763,134.377,35.768,124.322,70.832
"1970-02",47.189,32.476,133.559,66.463,81.159,59.39
"1970-03",68.147,42.531,70.384,75.678,120.03,85.876
"1970-04",37.251,47.22,112.927,82.753,139.111,73.619
"1970-05",55.737,41.717,105.361,113.931,135.151,72.207
"1970-06",77.92,94.167,58.813,152.922,132.709,97.736
"1970-07",99.671,108.672,32.363,111.702,143.683,114.813
"1970-08",101.43,115.379,23.942,52.305,131.315,110.251
"1970-09",93.126,78.209,27.973,37.048,162.455,101.126
"1970-10",85.349,69.381,138.178,96.114,109.217,106.442
"1970-11",89.758,67.471,95.27,43.648,123.482,105.982
"1970-12",39.722,67.881,186.997,44.575,169.318,89.721
"1971-01",53.163,36.246,128.46,49.991,83.971,60.612
"1971-02",47.858,34.025,110.832,42.92,88.416,54.111
"1971-03",32.322,51.636,145.085,54.205,161.599,69.328
"1971-04",45.293,40.628,103.863,116.997,101.964,68.75
"1971-05",63.552,58.338,88.589,143.013,95.964,79.835
"1971-06",57.329,87.738,78.957,124.959,118.727,78.98
"1971-07",97.149,117.916,22.5,114.95,159.343,103.72
"1971-08",105.89,64.78,52.089,112.366,157.305,100.182
"1971-09",95.22,87.205,37.67,84.2,94.372,104.39
"1971-10",75.185,87.125,143.818,53.945,148.545,108.139
"1971-11",77.859,52.21,112.366,72.022,118.258,85.99
"1971-12",74.222,45.318,115.488,76.326,90.677,79.567
"1972-01",48.356,43.006,136.481,29.237,92.986,63.143
"1972-02",56.101,31.351,116.255,54.523,110.146,63.154
"1972-03",57.831,46.03,89.547,49.484,119.887,73.588
"1972-04",46.036,43.532,138.34,78.566,98.5,71.4
"1972-05",46.915,58.863,75.749,114.232,119.7,70.517
"1972-06",78.142,65.898,57.481,126.224,135.102,85.582
"1972-07",88.458,99.844,22.44,116.438,150.402,112.982
"1972-08",111.066,94.662,73.958,123.354,131.527,118.145
"1972-09",80.979,108.876,115.714,85.954,139.142,104.727
"1972-10",89.965,74.313,70.761,62.944,141.805,114.77
"1972-11",64.448,59.458,124.564,63.427,166.105,83.776
"1972-12",45.894,63.774,174.975,50.581,153.781,73.949
"1973-01",48.606,36.869,149.426,39.535,127.876,75.583
"1973-02",45.199,41.967,86.829,32.408,90.39,60.911
"1973-03",43.972,46.297,100.135,80.345,170.555,76.34
"1973-04",42.33,50.074,76.679,109.493,125.737,77.725
"1973-05",55.702,66.393,84.111,151.19,143.446,77.203
"1973-06",62.116,98.319,84.132,133.145,135.32,89.114
"1973-07",97.049,96.452,14.445,116.49,146.105,108.821
"1973-08",100.495,91.192,39.983,92.983,152.819,124.176
"1973-09",104.302,90.733,62.935,97.84,88.413,109.587
"1973-10",94.798,63.062,102.402,93.283,144.556,103.23
"1973-11",75.829,59.305,146.893,69.828,146.862,94.444
"1973-12",68.66,59.799,123.15,28.113,151.628,88.542
"1974-01",58.923,34.76,122.477,73.968,117.401,74.016
"1974-02",47.28,26.004,109.952,42.254,139.13,58.82
"1974-03",55.551,38.866,72.817,67.161,114.392,70.509
"1974-04",49.102,53.54,86.326,116.195,94.183,69.572
"1974-05",57.46,52.164,106.558,131.002,131.93,79.31
"1974-06",82.558,85.897,55.141,84.911,122.442,99.719
"1974-07",91.967,117.574,18.463,72.046,178.843,113.414
"1974-08",84.196,92.288,33.138,95.875,148.438,110.898
"1974-09",88.866,87.004,62.112,41.118,119.47,90.962
"1974-10",80.155,69.133,93.495,64.978,139.75,95.942
"1974-11",102.766,60.507,74.294,41.206,170.706,100.468
"1974-12",41.788,44.687,141.625,35.932,143.822,75.326
"1975-01",30.552,35.445,150.75,52.656,107.92,61.162
"1975-02",40.672,34.969,123.336,62.555,136.25,59.071
"1975-03",44.139,43.092,133.863,39.918,124.354,62.515
"1975-04",45.236,58.069,110.484,71.766,124.763,71.557
"1975-05",68.454,66.547,49.824,93.411,108.065,77.689
"1975-06",76.757,83.886,41.736,96.42,125.951,96.214
"1975-07",77.937,104.519,27.164,103.137,156.041,99.91
"1975-08",95.065,85.013,43.389,101.755,135.556,111.251
"1975-09",88.087,86.023,83.641,86.993,161.394,106.098
"1975-10",95.67,65.463,84.81,13.503,89.087,93.119
"1975-11",59.893,53.041,107.706,40.27,111.932,86.165
"1975-12",48.216,34.085,155.68,50.406,96.511,72.234
"1976-01",62.949,38.329,139.134,38.977,123.178,69.359
"1976-02",54.416,38.747,125.516,43.84,103.902,72.539
"1976-03",66.11,53.525,98.981,112.901,110.663,88.804
"1976-04",44.881,44.68,106.729,121.795,119.399,69.286
"1976-05",57.779,58.679,83.315,72.916,121.519,84.849
"1976-06",75.227,80.84,44.377,120.851,158.727,88.052
"1976-07",90.511,110.729,10.771,75.95,114.526,103.62
"1976-08",93.493,96.019,26.227,93.26,132.583,91.332
"1976-09",100.798,92.484,38.741,63.999,123.427,116.714
