#Dataset: MPI-M-MPI-ESM-LR_r1i1p1_GERICS-REMO2015_v1
#Variable: pr
#Area: landsea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-01-26
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","NWN","NEN","WNA","CNA","ENA","NCA","CAR","full_domain"
"2006-01",65.166,35.14,67.408,34.724,107.484,84.845,112.986,105.73
"2006-02",53.561,41.435,142.601,41.644,117.235,35.65,123.651,93.895
"2006-03",53.801,51.526,114.063,74.835,128.437,49.867,158.306,89.047
"2006-04",43.054,46.929,97.713,84.219,107.081,66.787,102.45,80.122
"2006-05",65.122,56.435,63.053,95.429,137.219,39.507,144.312,90.887
"2006-06",72.583,56.603,51.742,104.161,118.717,110.057,159.729,99.211
"2006-07",88.121,47.001,52.107,132.894,145.857,111.096,121.223,98.62
"2006-08",89.013,81.685,40.682,121.401,136.12,246.699,113.42,113.649
"2006-09",81.173,69.191,73.727,75.616,121.455,160.538,279.747,123.74
"2006-10",101.526,83.078,55.992,48.963,113.947,107.894,382.11,134.228
"2006-11",79.281,67.47,111.113,35.832,123.839,92.677,146.193,121.048
"2006-12",76.262,43.79,137.078,59.792,162.953,55.818,160.921,118.762
"2007-01",75.581,53.304,100.74,63.363,142.906,72.391,124.279,116.783
"2007-02",60.657,39.939,87.669,63.161,113.435,56.796,126.893,92.359
"2007-03",48.878,48.38,104.104,90.539,119.83,67.777,153.121,99.972
"2007-04",57.011,38.549,82.986,69.14,94.392,61.352,160.988,79.154
"2007-05",69.609,60.757,51.799,98.004,129.116,70.572,203.377,90.856
"2007-06",70.231,52.938,49.793,107.784,121.608,71.607,154.674,85.248
"2007-07",84.968,60.724,43.494,108.991,146.019,128.982,152.6,101.961
"2007-08",102.919,69.709,52.864,86.204,141.888,140.738,239.305,117.52
"2007-09",113.465,83.499,46.327,51.434,176.769,131.788,317.847,138.3
"2007-10",87.62,79.196,76.859,45.516,161.175,106.644,464.827,139.701
"2007-11",97.898,55.951,109.606,54.424,109.516,62.845,243.568,107.248
"2007-12",91.071,64.604,111.024,34.424,107.962,78.443,207.581,112.983
"2008-01",55.845,50.658,115.028,28.448,105.174,60.049,206.248,110.421
"2008-02",60.79,41.413,122.143,59.615,77.879,104.743,210.21,98.21
"2008-03",64.173,46.328,51.214,72.367,88.679,124.628,139.374,93.992
"2008-04",64.016,50.972,59.9,74.68,100.183,43.579,90.665,81.557
"2008-05",75.516,62.14,38.402,143.409,123.745,57.825,95.665,86.529
"2008-06",78.889,54.125,47.161,84.672,141.744,145.143,114.556,97.5
"2008-07",80.538,52.769,47.4,121.81,130.545,94.627,209.068,100.662
"2008-08",88.231,52.894,63.106,112.316,131.166,171.202,159.491,107.979
"2008-09",94.51,73.177,66.622,85.716,106.01,203.996,317.389,133.652
"2008-10",96.037,62.104,67.474,27.842,100.328,103.835,362.242,124.175
"2008-11",57.616,77.29,171.669,16.09,93.408,53.428,224.725,100.715
"2008-12",63.767,59.953,118.637,30.783,128.753,86.568,183.221,110.889
"2009-01",61.304,40.87,91.35,48.57,115.905,110.691,137.695,108.598
"2009-02",65.495,43.07,68.519,46.839,101.897,87.557,83.345,86.103
"2009-03",73.078,57.923,39.305,62.688,125.989,59.672,135.519,97.936
"2009-04",52.692,54.624,77.927,45.018,113.838,73.937,87.42,84.343
"2009-05",63.542,63.731,67.871,122.226,93.21,88.073,218.702,90.329
"2009-06",77.041,54.623,50.852,107.455,132.597,127.821,157.366,86.174
"2009-07",72.257,74.599,54.558,117.902,116.873,141.739,176.608,102.634
"2009-08",102.101,61.126,54.758,80.911,170.731,167.421,263.287,114.122
"2009-09",93.217,69.891,30.91,49.359,135.395,113.244,351.935,114.369
"2009-10",100.899,59.461,52.107,85.671,95.498,215.769,427.382,142.575
"2009-11",103.615,63.86,74.634,43.939,114.722,74.717,167.836,119.477
"2009-12",91.962,39.792,92.841,49.444,112.986,69.334,155.786,112.345
"2010-01",69.238,48.638,144.134,46.565,102.909,69.462,115.334,104.178
"2010-02",39.227,40.136,148.736,42.204,115.617,54.435,196.542,87.648
"2010-03",64.112,43.758,26.453,81.69,139.963,86.931,98.277,96.949
"2010-04",61.165,43.193,90.655,110.043,117.815,39.769,83.118,76.641
"2010-05",57.91,71.987,62.41,148.023,86.252,56.674,209.464,81.414
"2010-06",76.091,68.621,50.251,151.32,133.066,138.788,152.204,98.871
"2010-07",80.807,67.475,52.197,123.094,139.179,122.187,143.572,97.837
"2010-08",94.625,78.752,77.913,106.915,120.92,184.406,239.249,120.866
"2010-09",112.838,66.076,40.045,87.065,143.679,187.756,170.785,120.013
